Area_Code,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
7021405,66,33,3,45,18,0,0,0,150,0,150
7021406,111,6,0,15,6,0,0,0,129,0,129
7021407,120,12,12,21,0,3,3,0,150,0,150
7021408,117,3,0,39,0,0,0,0,162,0,162
7021409,75,6,0,63,3,0,0,0,141,0,141
7021410,39,12,3,9,3,0,0,0,57,0,57
7021411,120,12,3,15,3,3,3,0,138,0,138
7021412,189,15,3,33,9,6,6,0,237,0,237
7021413,159,15,3,24,3,0,0,0,189,0,189
7021414,108,9,3,18,0,3,3,0,123,0,123
7021415,132,18,3,21,3,0,0,3,156,0,156
7021416,147,21,6,9,0,3,3,3,168,0,168
7021417,111,12,6,12,6,3,3,0,126,0,126
7021418,201,18,9,21,3,3,3,0,222,0,222
7021419,48,15,6,18,6,3,3,0,78,0,78
7021420,165,12,6,24,3,0,0,0,195,0,195
7021421,144,15,3,12,3,3,3,0,165,0,165
7021422,165,39,12,75,6,0,0,0,270,0,270
7021423,165,33,12,12,24,3,3,0,207,0,207
7021424,120,9,3,6,3,3,3,0,135,0,135
7021425,141,9,3,15,0,3,3,0,159,0,159
7021426,144,15,6,42,6,3,3,0,189,0,189
7021427,189,27,6,132,6,0,0,0,330,0,330
7021428,207,24,3,51,6,6,6,0,264,0,264
7021429,66,12,0,9,0,0,0,0,78,0,78
7021430,102,9,3,30,3,3,0,0,129,0,129
7021431,102,9,6,12,0,3,3,0,123,0,123
7021432,60,9,0,15,0,0,0,0,72,0,72
7021433,60,6,0,21,3,3,0,3,84,0,84
7021434,78,9,3,6,3,3,3,0,90,0,90
7021435,36,6,3,3,0,0,0,0,42,0,42
7021436,210,27,3,51,6,3,3,0,273,0,273
7021437,78,9,0,3,0,0,0,0,84,0,84
7021438,81,15,3,18,3,0,0,3,111,0,111
7021439,111,36,21,66,45,3,3,3,258,0,258
7021440,156,18,3,24,6,0,0,0,189,0,189
7021441,129,12,6,15,6,3,3,0,150,0,150
7021442,231,21,3,15,3,0,0,0,243,0,243
